asof_date,ticker,signal_name,value,confidence,posts_analyzed,calculation_method,search_terms
2024-03-05,SQNXF,SENTIMENT_RDDT,0.6150243502728998,0.5,0,fallback_no_data,"sqnxf, square enix, squareenix"
2024-03-05,KSFTF,SENTIMENT_RDDT,0.0,0.0,0,fallback_no_data,"ksftf, kingsoft, kingsoft corp"
2024-03-05,KNMCY,SENTIMENT_RDDT,0.6963872503212886,0.32,0,fallback_no_data,"knmcy, konami, konami group"
2024-03-05,NEXOY,SENTIMENT_RDDT,-0.49014246978406356,0.06,0,fallback_no_data,"nexoy, nexon, nexon co"
2024-03-06,EA,SENTIMENT_RDDT,0.3524302233335057,1.0,0,fallback_no_data,"ea, electronic arts, ea games"
2024-03-06,TTWO,SENTIMENT_RDDT,0.5828603132688436,0.12,0,fallback_no_data,"ttwo, take-two interactive, ttwo"
2024-03-06,NTES,SENTIMENT_RDDT,0.7476707515622331,0.04,0,fallback_no_data,"ntes, netease"
2024-03-06,RBLX,SENTIMENT_RDDT,0.8476672652829527,0.38,0,fallback_no_data,"rblx, roblox"
2024-03-06,MSFT,SENTIMENT_RDDT,0.5311647843226026,0.44,0,fallback_no_data,"msft, microsoft"
2024-03-06,SONY,SENTIMENT_RDDT,0.22444344623721987,0.54,0,fallback_no_data,"sony, sony"
2024-03-06,WBD,SENTIMENT_RDDT,0.36856205069318976,0.58,0,fallback_no_data,"wbd, warner bros"
2024-03-06,NCBDY,SENTIMENT_RDDT,-0.5728446552152987,0.14,0,fallback_no_data,"ncbdy, cd projekt"
2024-03-06,GDEV,SENTIMENT_RDDT,0.2693336263298988,0.02,0,fallback_no_data,"gdev, gaijin"
2024-03-06,OTGLF,SENTIMENT_RDDT,0.15994031920734836,0.06,0,fallback_no_data,"otglf, outlook games"
2024-03-06,SNAL,SENTIMENT_RDDT,0.6621904368304047,0.1,0,fallback_no_data,"snal, snail games"
2024-03-06,GRVY,SENTIMENT_RDDT,0.7049029603437373,0.32,0,fallback_no_data,"grvy, gravity games"
2024-03-06,SQNXF,SENTIMENT_RDDT,0.6149463746988922,0.5,0,fallback_no_data,"sqnxf, square enix, squareenix"
2024-03-06,KSFTF,SENTIMENT_RDDT,0.0,0.0,0,fallback_no_data,"ksftf, kingsoft, kingsoft corp"
2024-03-06,KNMCY,SENTIMENT_RDDT,0.6964450120624549,0.26,0,fallback_no_data,"knmcy, konami, konami group"
2024-03-06,NEXOY,SENTIMENT_RDDT,-0.4901424703276693,0.06,0,fallback_no_data,"nexoy, nexon, nexon co"
2024-03-07,EA,SENTIMENT_RDDT,0.37023389689919245,1.0,0,fallback_no_data,"ea, electronic arts, ea games"
2024-03-07,TTWO,SENTIMENT_RDDT,0.5828603129395747,0.12,0,fallback_no_data,"ttwo, take-two interactive, ttwo"
2024-03-07,NTES,SENTIMENT_RDDT,0.7476707516048182,0.04,0,fallback_no_data,"ntes, netease"
2024-03-07,RBLX,SENTIMENT_RDDT,0.8452268873644472,0.38,0,fallback_no_data,"rblx, roblox"
2024-03-07,MSFT,SENTIMENT_RDDT,0.6733871712745386,0.46,0,fallback_no_data,"msft, microsoft"
2024-03-07,SONY,SENTIMENT_RDDT,0.22444344604530822,0.54,0,fallback_no_data,"sony, sony"
2024-03-07,WBD,SENTIMENT_RDDT,0.36856204992475766,0.58,0,fallback_no_data,"wbd, warner bros"
2024-03-07,NCBDY,SENTIMENT_RDDT,-0.5728446575909938,0.14,0,fallback_no_data,"ncbdy, cd projekt"
2024-03-07,GDEV,SENTIMENT_RDDT,0.2693336263298988,0.02,0,fallback_no_data,"gdev, gaijin"
2024-03-07,OTGLF,SENTIMENT_RDDT,0.15994031921856144,0.06,0,fallback_no_data,"otglf, outlook games"
2024-03-07,SNAL,SENTIMENT_RDDT,0.6434096085205878,0.08,0,fallback_no_data,"snal, snail games"
2024-03-07,GRVY,SENTIMENT_RDDT,0.704902960452858,0.32,0,fallback_no_data,"grvy, gravity games"
2024-03-07,SQNXF,SENTIMENT_RDDT,0.6141113904311756,0.44,0,fallback_no_data,"sqnxf, square enix, squareenix"
2024-03-07,KSFTF,SENTIMENT_RDDT,0.0,0.0,0,fallback_no_data,"ksftf, kingsoft, kingsoft corp"
2024-03-07,KNMCY,SENTIMENT_RDDT,0.6964450113075901,0.26,0,fallback_no_data,"knmcy, konami, konami group"
2024-03-07,NEXOY,SENTIMENT_RDDT,-0.49014247088683094,0.06,0,fallback_no_data,"nexoy, nexon, nexon co"
2024-03-08,EA,SENTIMENT_RDDT,0.37415207556656793,1.0,0,fallback_no_data,"ea, electronic arts, ea games"
2024-03-08,TTWO,SENTIMENT_RDDT,0.582860312608749,0.12,0,fallback_no_data,"ttwo, take-two interactive, ttwo"
